measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
2011 Apr 17',159.94,64.82,6500.00,7490.00
'2011 Apr 18',159.62,65.20,6100.00,8070.00
'2011 Apr 19',159.30,64.85,5800.00,8100.00
'2011 Apr 20',158.94,64.58,5800.00,8080.00
'2011 Apr 21',158.70,65.14,6600.00,8140.00
'2011 Apr 22',158.48,65.00,6600.00,7040.00
'2011 Apr 23',158.40,65.12,6400.00,8220.00
'2011 Apr 24',158.16,65.12,5900.00,7100.00
'2011 Apr 25',157.93,64.54,5900.00,7640.00
'2011 Apr 26',157.66,64.26,6300.00,7630.00
'2011 Apr 27',157.26,64.67,5600.00,7720.00
'2011 Apr 28',157.03,65.66,5600.00,7210.00
'2011 Apr 29',156.99,65.74,5600.00,6130.00
'2011 Apr 30',158.40,65.12,6400.00,8220.00
'2011 May 01',156.43,65.25,5800.00,6020.00
'2011 May 02',156.44,65.52,6000.00,6070.00
'2011 May 03',156.31,65.09,6000.00,6000.00
'2011 May 04',156.09,65.30,6300.00,8090.00
'2011 May 05',155.58,65.46,5700.00,9090.00
'2011 May 06',155.48,65.16,5400.00,6210.00
'2011 May 07',155.26,65.10,5300.00,7010.00
'2011 May 08',155.21,64.80,5400.00,6500.00
'2011 May 09',154.82,65.22,6400.00,7660.00
'2011 May 10',154.84,65.00,9000.00,7180.00
'2011 May 11',154.82,64.86,9000.00,6730.00
'2011 May 12',155.08,65.31,9000.00,7020.00
'2011 May 13',155.29,65.26,8000.00,6950.00
'2011 May 14',155.41,65.11,7500.00,7040.00
'2011 May 15',155.34,64.48,7350.00,6150.00
'2011 May 16',155.13,65.24,6900.00,8240.00
'2011 May 17',154.85,64.54,7000.00,9190.00
'2011 May 18',154.37,65.50,6600.00,9700.00
'2011 May 19',154.35,65.46,6600.00,8700.00
'2011 May 20',153.56,64.28,7000.00,9680.00
'2011 May 21',153.24,65.26,8500.00,9800.00
'2011 May 22',153.17,65.18,9000.00,9820.00
'2011 May 23',153.03,65.18,9000.00,9840.00
'2011 May 24',152.98,65.20,9000.00,8830.00
'2011 May 25',152.52,65.04,9200.00,11400.00
'2011 May 26',152.44,64.18,9300.00,10100.00
'2011 May 27',151.53,64.69,8000.00,12600.00
'2011 May 28',151.49,64.68,8000.00,11500.00
'2011 May 29',150.52,65.17,7800.00,11100.00
'2011 May 30',150.37,64.82,8800.00,10100.00
'2011 May 31',149.60,65.28,10600.00,13900.00
'2011 Jun 01',149.16,65.82,9300.00,12500.00
'2011 Jun 02',148.62,65.76,9500.00,12600.00
'2011 Jun 03',148.22,65.90,10300.00,12700.00
'2011 Jun 04',147.86,65.43,9300.00,11100.00
'2011 Jun 05',147.52,65.16,9500.00,11600.00
'2011 Jun 06',147.10,65.52,9300.00,12500.00
'2011 Jun 07',146.84,65.08,10600.00,11800.00
'2011 Jun 08',146.44,64.86,10500.00,12700.00
'2011 Jun 09',146.44,64.64,10500.00,11200.00
'2011 Jun 10',145.81,65.38,10500.00,11900.00
'2011 Jun 11',145.76,64.14,9300.00,9810.00
'2011 Jun 12',145.49,64.78,9600.00,9930.00
'2011 Jun 13',145.54,65.27,11200.00,10600.00
